
day,entity,product,price_tier,anticipation_method,payment_method,installments,amount_transacted,quantity_transactions,quantity_of_merchants
2025-01-01,PJ,pos,aggressive,D0/Nitro,credit,1,67894.97,1197,144
2025-01-01,PF,link,normal,D0/Nitro,credit,1,362730.21,1973,1731
2025-01-01,PF,pix,normal,Pix,uninformed,1,201488.65,3551,972
2025-01-01,PJ,tap,domination,D0/Nitro,debit,1,5.15,1,1
2025-01-01,PJ,pix,domination,Pix,uninformed,1,284027.1,5439,223
2025-01-01,PJ,pos,aggressive,D0/Nitro,debit,1,128779.98,3456,159
2025-01-01,PJ,pos,intermediary,D0/Nitro,debit,1,60014.49,1713,45
2025-01-01,PF,link,intermediary,D1Anticipation,credit,1,691.55,1,1
2025-01-01,PJ,pix,aggressive,Pix,uninformed,1,1018577.84,27856,1866
2025-01-01,PJ,tap,intermediary,D0/Nitro,debit,1,752.5,11,4
2025-01-01,PJ,bank_slip,aggressive,Bank Slip,uninformed,1,247.69,1,1
2025-01-01,PJ,tap,normal,D1Anticipation,debit,1,135769.24,3587,1321
2025-01-01,PJ,pos,normal,D0/Nitro,credit,1,638858.45,13031,3028
2025-01-01,PJ,pos,intermediary,D0/Nitro,credit,1,22498.53,466,43
2025-01-01,PJ,pos,domination,D1Anticipation,credit,2,19713.75,80,33
2025-01-01,PJ,pos,normal,D0/Nitro,credit,2,34811.73,126,104
2025-01-01,PF,link,intermediary,D1Anticipation,credit,2,4791.83,1,1
2025-01-01,PJ,link,normal,D1Anticipation,credit,2,121264.13,249,242
2025-01-01,PJ,pos,normal,D1Anticipation,credit,2,301733.03,750,649
2025-01-01,PF,tap,normal,D1Anticipation,credit,2,444666.44,862,830
2025-01-01,PJ,pos,aggressive,D0/Nitro,credit,2,3729.97,19,10
2025-01-01,PJ,link,domination,D0/Nitro,credit,2,499,1,1
2025-01-01,PJ,pos,aggressive,D1Anticipation,credit,2,94373.49,211,148
2025-01-01,PJ,tap,intermediary,D1Anticipation,credit,2,6673.96,5,4
2025-01-01,PJ,tap,normal,D0/Nitro,credit,2,45749.01,131,123
2025-01-01,PJ,link,domination,D1Anticipation,credit,2,3480.02,8,5
2025-01-01,PJ,tap,domination,D1Anticipation,credit,2,26025.4,1,1
2025-01-01,PF,link,normal,D0/Nitro,credit,2,140975.18,541,519
2025-01-01,PF,tap,normal,D0/Nitro,credit,2,478184.02,2125,1932
2025-01-01,PJ,tap,normal,D1Anticipation,credit,2,147547.54,185,177
2025-01-01,PF,pos,normal,D1Anticipation,credit,2,3481.22,9,9
2025-01-01,PF,link,normal,D1Anticipation,credit,2,110929.88,302,298
2025-01-01,PJ,link,intermediary,D0/Nitro,credit,2,1605.27,3,2
2025-01-01,PJ,pos,intermediary,D1Anticipation,credit,2,39636.47,134,78
2025-01-01,PJ,tap,aggressive,D1Anticipation,credit,2,23549.01,10,7
2025-01-01,PJ,tap,aggressive,D0/Nitro,credit,2,450,1,1
2025-01-01,PJ,pos,intermediary,D0/Nitro,credit,2,280.4,2,2
2025-01-01,PJ,link,normal,D0/Nitro,credit,2,52660.67,103,96
2025-01-01,PJ,link,intermediary,D1Anticipation,credit,2,5028.09,9,8
2025-01-01,PJ,link,aggressive,D1Anticipation,credit,2,9808.82,20,17
2025-01-01,PF,tap,aggressive,D1Anticipation,credit,2,3443.78,3,1
2025-01-01,PF,pos,normal,D0/Nitro,credit,2,840,1,1
2025-01-01,PJ,pos,aggressive,D1Anticipation,credit,3,91244.12,94,79
2025-01-01,PJ,link,intermediary,D1Anticipation,credit,3,19730.75,17,16
2025-01-01,PF,link,normal,D1Anticipation,credit,3,137203.98,258,249
2025-01-01,PJ,link,aggressive,D1Anticipation,credit,3,19375.37,28,27
2025-01-01,PF,pos,normal,D0/Nitro,credit,3,500,1,1
2025-01-01,PJ,link,normal,D1Anticipation,credit,3,154237.97,220,217
2025-01-01,PF,link,normal,D0/Nitro,credit,3,111295.72,261,258
2025-01-01,PJ,tap,normal,D0/Nitro,credit,3,38288.29,72,68
2025-01-01,PJ,link,domination,D0/Nitro,credit,3,694,1,1
2025-01-01,PJ,tap,domination,D1Anticipation,credit,3,8960,3,3
2025-01-01,PJ,tap,normal,D1Anticipation,credit,3,192747.14,185,182
2025-01-01,PF,tap,normal,D0/Nitro,credit,3,372933.55,991,917
2025-01-01,PJ,pos,normal,D0/Nitro,credit,3,17207.1,45,43
2025-01-01,PJ,pos,domination,D1Anticipation,credit,3,25223.94,49,26
2025-01-01,PJ,tap,aggressive,D1Anticipation,credit,3,31628.02,13,11
2025-01-01,PJ,link,domination,D1Anticipation,credit,3,6990,3,3
2025-01-01,PJ,pos,normal,D1Anticipation,credit,3,236370.93,347,320
2025-01-01,PJ,pos,aggressive,D0/Nitro,credit,3,2561.82,7,4
2025-01-01,PF,pos,normal,D1Anticipation,credit,3,2182,4,4
2025-01-01,PF,tap,normal,D1Anticipation,credit,3,473751.98,711,685
2025-01-01,PJ,pos,intermediary,D1Anticipation,credit,3,36606.54,65,50
2025-01-01,PJ,tap,intermediary,D1Anticipation,credit,3,7646.1,7,7
2025-01-01,PJ,link,normal,D0/Nitro,credit,3,27140.18,53,51
2025-01-01,PF,tap,aggressive,D1Anticipation,credit,3,4905.06,2,2
2025-01-01,PJ,link,domination,D0/Nitro,credit,4,707,1,1
2025-01-01,PF,link,normal,D0/Nitro,credit,4,87306.95,156,154
2025-01-01,PJ,tap,aggressive,D1Anticipation,credit,4,28488.43,12,11
2025-01-01,PJ,tap,intermediary,D1Anticipation,credit,4,31541.27,6,6
2025-01-01,PJ,link,aggressive,D0/Nitro,credit,4,4506.92,1,1
2025-01-01,PJ,pos,intermediary,D1Anticipation,credit,4,25515.28,16,11
2025-01-01,PJ,pos,domination,D0/Nitro,credit,4,950,1,1
2025-01-01,PJ,link,normal,D1Anticipation,credit,4,138418.05,138,136
2025-01-01,PF,pos,normal,D0/Nitro,credit,4,480,1,1
2025-01-01,PF,tap,intermediary,D1Anticipation,credit,4,10549.64,1,1
2025-01-01,PF,link,aggressive,D1Anticipation,credit,4,5000,1,1
2025-01-01,PF,tap,normal,D0/Nitro,credit,4,364143.11,627,596
2025-01-01,PJ,link,intermediary,D1Anticipation,credit,4,8841.96,7,5
2025-01-01,PJ,tap,domination,D1Anticipation,credit,4,24370,4,4
2025-01-01,PJ,link,aggressive,D1Anticipation,credit,4,15301.21,11,10
2025-01-01,PJ,tap,normal,D1Anticipation,credit,4,161588.06,126,118
2025-01-01,PJ,link,domination,D1Anticipation,credit,4,1700,3,3
2025-01-01,PJ,pos,normal,D1Anticipation,credit,4,266436.78,251,226
2025-01-01,PJ,pos,aggressive,D1Anticipation,credit,4,57274.65,43,39
2025-01-01,PJ,pos,aggressive,D0/Nitro,credit,4,2124.42,3,2
2025-01-01,PJ,pos,normal,D0/Nitro,credit,4,19014.18,32,27
2025-01-01,PJ,link,normal,D0/Nitro,credit,4,24408.29,35,35
2025-01-01,PF,link,normal,D1Anticipation,credit,4,105998.33,148,144
2025-01-01,PJ,link,intermediary,D0/Nitro,credit,4,600,1,1
2025-01-01,PJ,tap,normal,D0/Nitro,credit,4,33163.47,47,43
2025-01-01,PJ,pos,domination,D1Anticipation,credit,4,7505.98,9,8
2025-01-01,PF,pos,normal,D1Anticipation,credit,4,2991.7,5,4
2025-01-01,PF,tap,aggressive,D0/Nitro,credit,4,10672.03,2,2
2025-01-01,PF,tap,normal,D1Anticipation,credit,4,558878.76,608,583
2025-01-01,PF,link,normal,D0/Nitro,credit,5,64515.57,95,92
2025-01-01,PJ,tap,domination,D1Anticipation,credit,5,26538.88,2,2
2025-01-01,PJ,link,domination,D1Anticipation,credit,5,3795,1,1
2025-01-01,PJ,tap,aggressive,D1Anticipation,credit,5,14950.93,7,7
2025-01-01,PF,tap,normal,D0/Nitro,credit,5,264308.33,393,372
2025-01-01,PF,link,normal,D1Anticipation,credit,5,82747.36,96,96
2025-01-01,PJ,pos,intermediary,D1Anticipation,credit,5,9238.99,7,7
2025-01-01,PJ,pos,normal,D0/Nitro,credit,5,16961.51,14,14
2025-01-01,PJ,link,intermediary,D1Anticipation,credit,5,7853.92,7,7
2025-01-01,PJ,pos,normal,D1Anticipation,credit,5,257480.12,178,161
2025-01-01,PJ,link,normal,D0/Nitro,credit,5,25291.52,33,32
2025-01-01,PF,link,aggressive,D1Anticipation,credit,5,1425.44,1,1
2025-01-01,PJ,pos,aggressive,D1Anticipation,credit,5,17195.34,21,20
2025-01-01,PJ,link,aggressive,D1Anticipation,credit,5,6752.61,10,9
2025-01-01,PJ,link,normal,D1Anticipation,credit,5,122176.79,83,78
2025-01-01,PJ,pos,domination,D1Anticipation,credit,5,5731.87,12,10
2025-01-01,PF,tap,normal,D1Anticipation,credit,5,537047.48,488,460
2025-01-01,PJ,tap,intermediary,D1Anticipation,credit,5,1591.85,1,1
2025-01-01,PJ,tap,normal,D0/Nitro,credit,5,29038.45,37,37
2025-01-01,PJ,tap,normal,D1Anticipation,credit,5,91186.01,77,76
2025-01-01,PJ,link,domination,D1Anticipation,credit,6,2961,4,4
2025-01-01,PJ,pos,domination,D1Anticipation,credit,6,19258.41,7,7
2025-01-01,PJ,link,normal,D0/Nitro,credit,6,11821.46,14,14
2025-01-01,PF,link,aggressive,D1Anticipation,credit,6,1499,1,1
2025-01-01,PJ,pos,normal,D0/Nitro,credit,6,5834.16,9,8
2025-01-01,PJ,link,intermediary,D1Anticipation,credit,6,8197.27,6,6
2025-01-01,PJ,tap,domination,D1Anticipation,credit,6,3726,2,2
2025-01-01,PJ,link,aggressive,D0/Nitro,credit,6,3508,2,2
2025-01-01,PJ,tap,normal,D1Anticipation,credit,6,148299.01,80,77
2025-01-01,PF,tap,normal,D0/Nitro,credit,6,197560.05,225,210
2025-01-01,PF,pos,normal,D1Anticipation,credit,6,2924,1,1
2025-01-01,PJ,pos,intermediary,D0/Nitro,credit,6,3100,2,1
2025-01-01,PJ,pos,aggressive,D0/Nitro,credit,6,5000,1,1
2025-01-01,PJ,tap,aggressive,D0/Nitro,credit,6,600,1,1
2025-01-01,PJ,tap,aggressive,D1Anticipation,credit,6,6449.25,4,4
2025-01-01,PF,tap,aggressive,D1Anticipation,credit,6,1961.7,1,1
2025-01-01,PJ,link,aggressive,D1Anticipation,credit,6,14146.12,15,15
2025-01-01,PJ,pos,normal,D1Anticipation,credit,6,202473.03,121,110
2025-01-01,PJ,link,normal,D1Anticipation,credit,6,99220.5,72,71
2025-01-01,PF,link,normal,D1Anticipation,credit,6,87767.6,96,90
2025-01-01,PJ,pos,aggressive,D1Anticipation,credit,6,44112.47,27,22
2025-01-01,PJ,tap,normal,D0/Nitro,credit,6,12125.55,12,12
2025-01-01,PJ,tap,intermediary,D1Anticipation,credit,6,2500,1,1
2025-01-01,PJ,pos,intermediary,D1Anticipation,credit,6,4073.32,9,7
2025-01-01,PJ,link,intermediary,D0/Nitro,credit,6,398,1,1
2025-01-01,PF,tap,normal,D1Anticipation,credit,6,455219.32,357,344
2025-01-01,PF,link,normal,D0/Nitro,credit,6,60627.34,84,82
2025-01-01,PF,link,normal,D1Anticipation,credit,7,18648.61,15,14
2025-01-01,PJ,tap,domination,D1Anticipation,credit,7,1608.16,1,1
2025-01-01,PJ,link,domination,D1Anticipation,credit,7,1661,1,1
2025-01-01,PJ,tap,intermediary,D1Anticipation,credit,7,15000.05,2,2
2025-01-01,PF,tap,normal,D1Anticipation,credit,7,167590.13,131,125
2025-01-01,PJ,link,normal,D0/Nitro,credit,7,3068.22,4,4
2025-01-01,PJ,pos,aggressive,D1Anticipation,credit,7,14450,2,2
2025-01-01,PJ,pos,domination,D1Anticipation,credit,7,1238.1,1,1
2025-01-01,PJ,pos,normal,D0/Nitro,credit,7,3411.37,2,2
2025-01-01,PJ,tap,normal,D1Anticipation,credit,7,59648.89,23,23
2025-01-01,PJ,tap,normal,D0/Nitro,credit,7,9974.98,8,8
2025-01-01,PF,tap,normal,D0/Nitro,credit,7,94407.99,92,91
2025-01-01,PJ,tap,aggressive,D1Anticipation,credit,7,2371.67,3,3
2025-01-01,PJ,link,normal,D1Anticipation,credit,7,14625.43,11,11
2025-01-01,PF,pos,normal,D1Anticipation,credit,7,1545,1,1
2025-01-01,PJ,pos,intermediary,D1Anticipation,credit,7,1950,1,1
2025-01-01,PF,link,normal,D0/Nitro,credit,7,28141.46,29,27
2025-01-01,PJ,pos,normal,D1Anticipation,credit,7,67425.67,39,37
2025-01-01,PJ,link,intermediary,D1Anticipation,credit,7,99.9,1,1
2025-01-01,PJ,tap,normal,D1Anticipation,credit,8,77850.82,34,33
2025-01-01,PF,tap,normal,D0/Nitro,credit,8,126874.96,105,100
2025-01-01,PJ,tap,normal,D0/Nitro,credit,8,1700.82,2,2
2025-01-01,PJ,pos,normal,D1Anticipation,credit,8,131696.2,61,56
2025-01-01,PF,tap,normal,D1Anticipation,credit,8,298714.19,203,192
2025-01-01,PJ,link,normal,D1Anticipation,credit,8,31442.75,11,11
2025-01-01,PF,link,normal,D1Anticipation,credit,8,30939.26,25,24
2025-01-01,PJ,tap,aggressive,D1Anticipation,credit,8,8787.78,3,3
2025-01-01,PF,link,normal,D0/Nitro,credit,8,30118.33,24,24
2025-01-01,PJ,link,normal,D0/Nitro,credit,8,4739.58,5,5
2025-01-01,PJ,pos,aggressive,D1Anticipation,credit,8,27995.93,11,8
2025-01-01,PJ,pos,normal,D0/Nitro,credit,8,8727.05,7,5
2025-01-01,PJ,tap,intermediary,D1Anticipation,credit,8,14377,4,4
2025-01-01,PJ,link,intermediary,D1Anticipation,credit,8,2442.83,1,1
2025-01-01,PJ,pos,intermediary,D1Anticipation,credit,8,13394.39,9,3
2025-01-01,PJ,pos,domination,D1Anticipation,credit,8,4300,2,1
2025-01-01,PJ,tap,normal,D1Anticipation,credit,9,13923.99,8,8
2025-01-01,PF,link,normal,D0/Nitro,credit,9,10416.87,14,14
2025-01-01,PF,tap,normal,D1Anticipation,credit,9,96092.52,55,55
2025-01-01,PJ,link,normal,D1Anticipation,credit,9,8859.14,3,3
2025-01-01,PJ,pos,intermediary,D1Anticipation,credit,9,565,1,1
2025-01-01,PJ,pos,normal,D0/Nitro,credit,9,618.18,2,2
2025-01-01,PJ,link,normal,D0/Nitro,credit,9,1257.96,1,1
2025-01-01,PJ,pos,normal,D1Anticipation,credit,9,32874.69,24,19
2025-01-01,PF,tap,normal,D0/Nitro,credit,9,33148.46,37,35
2025-01-01,PF,link,normal,D1Anticipation,credit,9,1133.24,2,2
2025-01-01,PJ,pos,aggressive,D1Anticipation,credit,9,9639,3,3
2025-01-01,PJ,link,intermediary,D1Anticipation,credit,9,1282.8,1,1
2025-01-01,PJ,tap,aggressive,D1Anticipation,credit,9,3275.47,1,1
2025-01-01,PF,tap,normal,D1Anticipation,credit,10,1376550.34,797,729
2025-01-01,PJ,tap,intermediary,D1Anticipation,credit,10,7800,3,3
2025-01-01,PF,pos,normal,D0/Nitro,credit,10,2022.1,3,3
2025-01-01,PJ,pos,intermediary,D1Anticipation,credit,10,48003.9,22,16
2025-01-01,PJ,link,intermediary,D1Anticipation,credit,10,6309,2,2
2025-01-01,PJ,pos,domination,D1Anticipation,credit,10,18034.76,10,5
2025-01-01,PF,pos,normal,D1Anticipation,credit,10,1068.14,1,1
2025-01-01,PJ,link,aggressive,D1Anticipation,credit,10,4038.79,2,2
2025-01-01,PF,link,normal,D0/Nitro,credit,10,98924.35,86,85
2025-01-01,PF,link,aggressive,D1Anticipation,credit,10,3000,1,1
2025-01-01,PJ,tap,domination,D1Anticipation,credit,10,13234.2,7,3
2025-01-01,PJ,tap,normal,D0/Nitro,credit,10,47333.16,35,34
2025-01-01,PJ,pos,aggressive,D1Anticipation,credit,10,181962.95,51,44
2025-01-01,PJ,pos,normal,D1Anticipation,credit,10,848925.7,268,215
2025-01-01,PF,tap,normal,D0/Nitro,credit,10,467063.3,375,344
2025-01-01,PJ,tap,normal,D1Anticipation,credit,10,529576.98,194,179
2025-01-01,PJ,link,normal,D1Anticipation,credit,10,141522.07,69,67
2025-01-01,PJ,pos,normal,D0/Nitro,credit,10,23947.14,13,12
2025-01-01,PF,link,normal,D1Anticipation,credit,10,94600.31,62,61
2025-01-01,PJ,link,domination,D1Anticipation,credit,10,13119.84,7,5
2025-01-01,PJ,pos,intermediary,D0/Nitro,credit,10,3300,2,1
2025-01-01,PJ,tap,aggressive,D1Anticipation,credit,10,72252.67,23,21
2025-01-01,PJ,link,normal,D0/Nitro,credit,10,54018.42,27,27
2025-01-01,PJ,tap,normal,D0/Nitro,credit,11,612.67,1,1
2025-01-01,PJ,pos,normal,D1Anticipation,credit,11,9198.5,4,4
2025-01-01,PJ,tap,aggressive,D1Anticipation,credit,11,9680,1,1
2025-01-01,PF,link,normal,D0/Nitro,credit,11,4086.16,8,8
2025-01-01,PF,link,normal,D1Anticipation,credit,11,1426.37,1,1
2025-01-01,PJ,tap,normal,D1Anticipation,credit,11,39884.06,5,4
2025-01-01,PJ,pos,normal,D0/Nitro,credit,11,1100,2,1
2025-01-01,PF,tap,normal,D0/Nitro,credit,11,13138.6,16,16
2025-01-01,PF,tap,normal,D1Anticipation,credit,11,46678.65,24,23
2025-01-01,PJ,link,aggressive,D0/Nitro,credit,12,1077.46,1,1
2025-01-01,PF,tap,normal,D0/Nitro,credit,12,374895.43,276,256
2025-01-01,PJ,tap,normal,D1Anticipation,credit,12,647674.25,143,123
2025-01-01,PJ,pos,aggressive,D1Anticipation,credit,12,245241.77,39,26
2025-01-01,PJ,link,normal,D0/Nitro,credit,12,18654.02,19,17
2025-01-01,PJ,pos,normal,D0/Nitro,credit,12,28197.76,12,10
2025-01-01,PJ,pos,domination,D1Anticipation,credit,12,25559.71,6,5
2025-01-01,PF,tap,intermediary,D1Anticipation,credit,12,16585.59,1,1
2025-01-01,PJ,pos,intermediary,D1Anticipation,credit,12,32207.62,17,8
2025-01-01,PF,pos,normal,D1Anticipation,credit,12,14254.21,5,5
2025-01-01,PJ,link,normal,D1Anticipation,credit,12,90807.44,40,39
2025-01-01,PJ,tap,domination,D1Anticipation,credit,12,25825.01,3,2
2025-01-01,PJ,pos,normal,D1Anticipation,credit,12,747121.05,196,159
2025-01-01,PF,pos,normal,D0/Nitro,credit,12,3059.61,1,1
2025-01-01,PF,tap,normal,D1Anticipation,credit,12,1088520.11,532,480
2025-01-01,PJ,link,domination,D1Anticipation,credit,12,2334.42,4,2
2025-01-01,PJ,link,intermediary,D0/Nitro,credit,12,1018.8,1,1
2025-01-01,PJ,tap,intermediary,D1Anticipation,credit,12,70546.54,8,8
2025-01-01,PJ,link,aggressive,D1Anticipation,credit,12,23593.98,7,7
2025-01-01,PF,link,normal,D1Anticipation,credit,12,112639.15,81,79
2025-01-01,PJ,link,intermediary,D1Anticipation,credit,12,13180.05,4,3
2025-01-01,PF,link,normal,D0/Nitro,credit,12,111866.73,144,133
2025-01-01,PJ,tap,normal,D0/Nitro,credit,12,39581.62,25,23
2025-01-01,PJ,tap,aggressive,D1Anticipation,credit,12,128761.18,20,16
2025-01-02,PF,tap,normal,D1Anticipation,debit,1,617282.31,14133,8126
2025-01-02,PJ,tap,normal,D0/Nitro,debit,1,285218.04,4070,2385
2025-01-02,PJ,tap,intermediary,D1Anticipation,debit,1,13575.74,65,35
2025-01-02,PF,link,normal,D0/Nitro,credit,1,1076870.77,4335,3917
2025-01-02,PJ,pos,domination,D1Anticipation,debit,1,1460106.3,18524,1084
2025-01-02,PJ,tap,intermediary,D0/Nitro,credit,1,13830.35,12,10
2025-01-02,PF,pos,normal,D1Anticipation,debit,1,52682.62,1527,434
2025-01-02,PJ,pix,normal,Pix,uninformed,1,13303542.76,275406,46253
2025-01-02,PJ,link,intermediary,D0/Nitro,credit,1,9468.1,5,5
2025-01-02,PJ,tap,domination,D1Anticipation,debit,1,3770.99,8,7
2025-01-02,PF,tap,domination,D1Anticipation,credit,1,1000,1,1
2025-01-02,PJ,pix,aggressive,Pix,uninformed,1,2577517.54,44246,5525
2025-01-02,PF,pos,aggressive,D1Anticipation,credit,1,8293.9,5,3
2025-01-02,PF,link,aggressive,D1Anticipation,credit,1,11858.05,2,2
2025-01-02,PF,pos,normal,D0/Nitro,debit,1,21365.22,793,168
2025-01-02,PJ,link,aggressive,D0/Nitro,credit,1,6319.95,14,13
2025-01-02,PJ,pos,intermediary,D0/Nitro,credit,1,74197.53,786,120
2025-01-02,PF,bank_slip,normal,Bank Slip,uninformed,1,270095.04,343,268
2025-01-02,PJ,link,domination,D0/Nitro,credit,1,4638.11,3,3
2025-01-02,PF,tap,intermediary,D1Anticipation,credit,1,46576.6,11,5
2025-01-02,PJ,link,aggressive,D1Anticipation,credit,1,132479.33,201,167
2025-01-02,PJ,pos,normal,D1Anticipation,credit,1,6920634.64,95578,41206
2025-01-02,PJ,tap,aggressive,D0/Nitro,debit,1,10188.13,53,27
2025-01-02,PJ,pos,aggressive,D1Anticipation,debit,1,3319001.99,70375,7441
2025-01-02,PF,tap,normal,D0/Nitro,credit,1,8121643.08,44179,31608
2025-01-02,PJ,link,intermediary,D1Anticipation,credit,1,89894.77,118,92
2025-01-02,PF,tap,intermediary,D0/Nitro,credit,1,175,2,2
2025-01-02,PJ,link,normal,D1Anticipation,credit,1,718270.73,1887,1741
2025-01-02,PJ,tap,aggressive,D1Anticipation,debit,1,33216.97,218,106
2025-01-02,PF,link,normal,D1Anticipation,credit,1,563693.95,1810,1697
2025-01-02,PJ,pos,aggressive,D1Anticipation,credit,1,2082398.79,28895,6353
2025-01-02,PJ,pos,intermediary,D1Anticipation,debit,1,2086735.82,37398,2942
2025-01-02,PJ,pos,intermediary,D1Anticipation,credit,1,1495655.72,15560,2551
2025-01-02,PJ,pos,aggressive,D0/Nitro,debit,1,198741.4,4963,385
2025-01-02,PJ,pos,domination,D0/Nitro,credit,1,29877.07,228,34
2025-01-02,PF,pix,intermediary,Pix,uninformed,1,11480,5,2
2025-01-02,PJ,bank_slip,normal,Bank Slip,uninformed,1,328491.72,427,206
2025-01-02,PJ,bank_slip,intermediary,Bank Slip,uninformed,1,6704.4,2,2
2025-01-02,PF,link,aggressive,D0/Nitro,credit,1,150,1,1
2025-01-02,PJ,tap,aggressive,D0/Nitro,credit,1,49067.56,76,43
2025-01-02,PJ,pix,intermediary,Pix,uninformed,1,1698578.07,21928,2233
2025-01-02,PJ,pos,normal,D0/Nitro,debit,1,1746526.58,52185,9746
2025-01-02,PJ,tap,domination,D1Anticipation,credit,1,167817.77,31,22
2025-01-02,PF,tap,aggressive,D0/Nitro,credit,1,4575.61,6,6
2025-01-02,PJ,bank_slip,domination,Bank Slip,uninformed,1,1000,1,1
2025-01-02,PF,pos,normal,D0/Nitro,credit,1,10971.58,248,100
2025-01-02,PF,pos,normal,D1Anticipation,credit,1,38116.87,638,311
2025-01-02,PF,pos,intermediary,D1Anticipation,credit,1,532.5,2,2
2025-01-02,PJ,tap,aggressive,D1Anticipation,credit,1,306909.43,278,178
2025-01-02,PF,tap,normal,D1Anticipation,credit,1,4883699.18,16902,12851
2025-01-02,PJ,pos,intermediary,D0/Nitro,debit,1,93954.6,2243,131
2025-01-02,PJ,link,domination,D1Anticipation,credit,1,58870.59,46,35
2025-01-02,PJ,pos,aggressive,D0/Nitro,credit,1,147403.97,1908,349
2025-01-02,PJ,bank_slip,aggressive,Bank Slip,uninformed,1,8495.54,11,6
2025-01-02,PF,tap,aggressive,D0/Nitro,debit,1,492.87,4,2
2025-01-02,PF,tap,aggressive,D1Anticipation,debit,1,164.31,5,4
2025-01-02,PF,pos,intermediary,D1Anticipation,debit,1,149,3,1
2025-01-02,PJ,pos,domination,D0/Nitro,debit,1,34293.41,634,36
2025-01-02,PJ,tap,normal,D1Anticipation,debit,1,244443.56,3631,2279
2025-01-02,PJ,tap,normal,D1Anticipation,credit,1,1467440.83,4100,3267
2025-01-02,PF,pix,normal,Pix,uninformed,1,675781.66,6527,2940
